coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~$ cd teklit-maskin/
coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~/teklit-maskin$ cat src/main.py.log 
Initialization of sparse structure.
Arguments:
  moves_before_win: 0
  number_of_boards: 100000
  board_size: 19
  epochs: 150
  number_of_clauses: 32000
  T: 6000
  s: 1.5
  number_of_state_bits: 8
  depth: 2
  hypervector_size: 256
  hypervector_bits: 4
  message_size: 82
  message_bits: 4
  double_hashing: False
  one_hot_encoding: False
  max_included_literals: 250
No cache found, loading CSV: data/hex_games_100000_size_19.csv
Generating 100000 games on 19x19 board (stopping 0 moves early)...
Done! Generated 100000 games. Output: hex_games_100000_size_19.csv
No cache found, loading CSV: data/hex_games_100000_size_19.csv
Saving to cache: data/hex_games_100000_size_19_cached.npz
Loaded 100000 games from hex_games_100000_size_19.csv
Creating graphs on dataset of length training: 80000, and test: 20000...
Training for 150 epochs...
Epoch 1/150 Train Accuracy: 55.96% Test Accuracy: 55.84% Time: 469.96s
Epoch 2/150 Train Accuracy: 58.65% Test Accuracy: 58.04% Time: 437.40s
Epoch 3/150 Train Accuracy: 60.48% Test Accuracy: 59.86% Time: 436.80s
Epoch 4/150 Train Accuracy: 63.99% Test Accuracy: 62.98% Time: 436.49s
Epoch 5/150 Train Accuracy: 65.86% Test Accuracy: 65.14% Time: 436.21s
Epoch 6/150 Train Accuracy: 67.77% Test Accuracy: 67.05% Time: 435.61s
Epoch 7/150 Train Accuracy: 69.27% Test Accuracy: 68.08% Time: 435.41s
Epoch 8/150 Train Accuracy: 68.18% Test Accuracy: 67.20% Time: 436.93s
Epoch 9/150 Train Accuracy: 73.23% Test Accuracy: 72.10% Time: 437.01s
Epoch 10/150 Train Accuracy: 74.34% Test Accuracy: 73.30% Time: 436.42s
Epoch 11/150 Train Accuracy: 74.60% Test Accuracy: 73.75% Time: 436.00s
Epoch 12/150 Train Accuracy: 79.27% Test Accuracy: 78.16% Time: 433.02s
Epoch 13/150 Train Accuracy: 83.40% Test Accuracy: 82.10% Time: 432.81s
Epoch 14/150 Train Accuracy: 86.67% Test Accuracy: 85.56% Time: 432.20s
Epoch 15/150 Train Accuracy: 85.28% Test Accuracy: 84.18% Time: 431.79s
Epoch 16/150 Train Accuracy: 89.72% Test Accuracy: 88.66% Time: 431.56s
Epoch 17/150 Train Accuracy: 91.71% Test Accuracy: 91.03% Time: 430.97s
Epoch 18/150 Train Accuracy: 92.16% Test Accuracy: 91.41% Time: 430.67s
Epoch 19/150 Train Accuracy: 93.56% Test Accuracy: 92.73% Time: 430.28s
Epoch 20/150 Train Accuracy: 96.00% Test Accuracy: 95.41% Time: 429.87s
Epoch 21/150 Train Accuracy: 96.17% Test Accuracy: 95.56% Time: 429.40s
Epoch 22/150 Train Accuracy: 97.52% Test Accuracy: 97.16% Time: 429.12s
Epoch 23/150 Train Accuracy: 98.68% Test Accuracy: 98.06% Time: 428.72s
Epoch 24/150 Train Accuracy: 98.26% Test Accuracy: 97.74% Time: 428.39s
Epoch 25/150 Train Accuracy: 98.72% Test Accuracy: 98.53% Time: 428.14s
Epoch 26/150 Train Accuracy: 99.58% Test Accuracy: 99.41% Time: 427.66s
Epoch 27/150 Train Accuracy: 98.61% Test Accuracy: 98.23% Time: 427.56s
Epoch 28/150 Train Accuracy: 98.56% Test Accuracy: 98.22% Time: 427.28s
Epoch 29/150 Train Accuracy: 99.22% Test Accuracy: 99.02% Time: 426.99s
Epoch 30/150 Train Accuracy: 99.70% Test Accuracy: 99.62% Time: 426.71s
Epoch 31/150 Train Accuracy: 99.75% Test Accuracy: 99.70% Time: 426.38s
Epoch 32/150 Train Accuracy: 99.82% Test Accuracy: 99.76% Time: 425.98s
